Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename
,110mm N1 Spk Rubber Ring,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Elbow 160mm PVC,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110MM NB HDPE Irrig Pipe(6mtr) PT- I,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110mm NB HDPE Irrig Pipe(6mtr) PT- II,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110mm NE Spk Latch,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110mm NR HDPE Spk Adopter,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,SOC 63MM N HDPE Spk Bend,,220,0,,0,0,Y,0,0,0,0,Rajasthan
,110mm NR HDPE Spk Bend,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110mm NR HDPE Spk PCN,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110mm NR Spk Latch,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110mm PCN CLAMP/CLIP,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110mm Spk Pcn Nipple,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110mm Spk Rubber Ring,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Elbow 16mm(PP),,2.69,0,,0,0,Y,0,0,0,0,Maharashtra
,110X90MM HDPE MOULDED REDUCER,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110x90mm HDPE Spk Reducer(B),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,110x90MM HDPE Spk Reducer(E/R),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,SOC 63mm N HDPE Spk MLC,,0,0,,0,0,Y,0,0,0,0,Rajasthan
,125MM  Latch,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,125MM HDPE MLC,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,125mm HDPE Tail Pice,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,125mm NB HDPE Irrig Pipe(6Mtr)Pt-1,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,125mm Rubber Ring,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,140MM HDPE  MLC,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,140MM HDPE TAIL PIECE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Elbow 20mm(Double Compression),,4.43,0,,0,0,Y,0,0,0,0,Maharashtra
,140MM Latch,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,140MM M. S. Clamp,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,SOC 63MM N HDPE Spk PCN,,225,0,,0,0,Y,0,0,0,0,Rajasthan
,140mm Rubber Ring,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,160mm  Rubber Ring,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,160MM HDPE  MLC,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,160MM HDPE Tail Pices,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,160MM Latch,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,160mm NB HDPE Irrig Pipe(6Mtr)PT-1,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,180MM M.S. Flange,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,180mm NB HDPE Irrig Pipe(6Mtr)PT-1,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,200mm Pvc Socket,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Elbow 25mm x 1 Threaded,,30.07,0,,0,0,Y,0,0,0,0,Maharashtra
,Emmitting Pipe CL-II(12mm 4LPH 60cm)Round,,7.54,0,,0,0,Y,0,0,0,0,Rajasthan
,SOC 63MM N HDPE Spk Pipe 3Mtr,,350,0,,0,0,Y,0,0,0,0,Rajasthan
,200MM HDPE MLC,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,200MM HDPE TP,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,200MM Spk Latch,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,200MM Spk Rubber Ring,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,225MM M.S.FLANGE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,32mm Coil Nipple,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,32mm Rubber Gasket,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,40MM  COIL NIPPEL S.S,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,40mm Coil Nipple(G.I.),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM B HDPE Spk Bend,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,SOC 63MM N HDPE Spk Pipe 6Mtr,,540,0,,0,0,Y,0,0,0,0,Rajasthan
,Elbow 32MM PVC,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM B HDPE Spk PCN,,0,0,,0,0,Y,0,0,0,0,Maharashtra
