Destination Code,Destination Name,ex_for_type
DES05188,DAKALIR HAT,FOR
DES05187,ROTHERDANGA,FOR
DES05186,GHEGIR HAT,FOR
DES05185,SATISHER HAT,FOR
DES05184,NATABARI SHYAMGANJ,FOR
DES05183,NAYARBAZAR (SITALKUCHI),FOR
DES05182,NATABARI(NCB),FOR
DES05181,NAYARHAT (GOPALPUR),FOR
DES05180,KHERBARI,FOR
DES05179,SHIVPUR(NCB),FOR
DES05178,TIL DANGA,FOR
DES05177,KIRIKIRI VANG,FOR
DES05176,NIGAMNAGAR KADAMTALA,FOR
DES05175,KHERBARI HAAT,FOR
DES05174,BARO SOLMARI,FOR
DES05173,PAROPARA (DEWANHAT),FOR
DES05172,BAMONVITA,FOR
DES05171,TURTURI,FOR
DES05170,HELPAKRI,FOR
DES05169,NIMTIJHORA T.E.,FOR
DES05168,MAJHER DABRI T.E.,FOR
DES05167,HATIPOTA T.E,FOR
DES05166,NEW LANDS T.E.,FOR
DES05165,CENTRAL DUARS T.E.,FOR
DES05164,BHATPARA T.E,FOR
DES05163,CHUAPARA T.E.,FOR
DES05162,NAJIRHAAT,FOR
DES05161,SAAT BHANDARI,FOR
DES05160,NEW CHANGRABANDHA T.E,FOR
DES05159,19 BEESHA,FOR
DES05158,RAMPUR FOLIMARI,FOR
DES05157,KHOGENER HAT,FOR
DES05156,ROTHER DANGA (MATHABHANGA),FOR
DES05155,BHAVER KHANA,FOR
DES05154,DAKLIR HAT,FOR
DES05153,GUKHSADANDA (PUNDIBARI),FOR
DES05152,KULKULI HAT,FOR
DES05151,KRANTI,FOR
DES05150,OARLESS (FALAKATA),FOR
DES05149,LALPUL,FOR
DES05148,SAPUR HAT(NCB),FOR
DES05147,KHARUBAHJ,FOR
DES05146,MAJHIR BARI (JAMALDAH),FOR
DES05145,MORANADIR KUTHI,FOR
DES05144,CHAPORER HAT,FOR
DES05143,SARKARER HAT,FOR
DES05142,CHILKI GURI,FOR
DES05141,JASHODA DANGA,FOR
DES05140,LOOHA PARI,FOR
DES05139,BORO CHOUKI,FOR
DES05138,KHATIMARI,FOR
DES05137,KURSHAMARI,FOR
DES05136,BALIKA,FOR
DES05135,KALMATI,FOR
DES05134,SALMARA,FOR
DES05133,BASHANTIHAT,FOR
DES05132,LAKSMIR HAT,FOR
DES05131,MALIRHAT (CHANDAMARI),FOR
DES05130,BAMANI DANGA,FOR
DES05129,KADAMTALA  (PUNDIBARI),FOR
DES05128,GORAIN HAT,FOR
DES05127,JAMIRDANGA,FOR
DES05126,BAROBHITA,FOR
DES05125,KASIRDANGA,FOR
DES05124,SHINGADANGA,FOR
DES05123,SCHOOLDANGA (SAMUKTALA),FOR
DES05122,SIPRA (SAMUKTALA),FOR
DES05121,BAODEAR DANGA,FOR
DES05120,AKRARHAT,FOR
DES05119,RAJARKUTHI,FOR
DES05118,KATAMARI SATMILE,FOR
