Destination Code,Destination Name
DES01715,"ASHIMGANJ - BAZARGHAT"
DES01716,"ASHIMGANJ - BINODINI BAZAR"
DES01717,"ASHIMGANJ - CHAMELA  (A)"
DES01718,"ASHIMGANJ - DOHALIA"
DES01719,"ASHIMGANJ - ERALIGOOL"
DES01720,"ASHIMGANJ - FAKUA"
DES01721,"ASHIMGANJ - FARIR MUKH"
DES01722,"ASHIMGANJ - GOBINDGANJ"
DES01723,"ASHIMGANJ - GULCHEERA"
DES01724,"ASHIMGANJ - KHANAI BAZAR"
DES01725,"ASHIMGANJ - KUOTKUNA"
DES01726,"ASHIMGANJ - MAINA BAZAR"
DES01727,"ASHIMGANJ - PATHERKANDI"
DES01728,"ASHIMGANJ - SONBIL"
DES01729,"ASHIMGANJ - TALTALA"
DES01730,"ASHIMGANJ - TUKAR BAZAR"
DES05247,"ASHOK GRAM"
DES07369,"ASHOKNAGAR"
DES03804,"ASHOKNAGAR (EX- COSPR)"
DES05472,"ASHRAMPARA"
DES07371,"ASIRA DAHA(EX RAGHUNATHGANJ)"
DES07370,"ASIRA DAHA(EX- BERHAMPORE)"
DES07372,"ASTHAWAN"
DES03277,"ASTHAWAN (EX WARS)"
DES07373,"Atagarh"
DES04081,"ATAGARH EX BURDWAN"
DES00283,"ATHIABARI (PATHSALA)"
DES03114,"ATHMALGOLA (EX-FATUWA)"
DES05008,"ATIABARI"
DES07374,"ATIALGURI ( NCB)"
DES05081,"ATIALGURI (NCB)"
DES03907,"ATKULA (EX-SAITHIA)"
DES07375,"ATRI"
DES02777,"ATRI (EX GAYA)"
DES07376,"Atri(Ex-Warisaliganj)"
DES03278,"ATRI(EX-WARS)"
DES00926,"AULA CHOWK (DRNG)"
DES03369,"AUNSI (EX DARBHANGA)"
DES02983,"AURAHI (EX-MZFR)"
DES05546,"AURANGABAD"
DES07377,"AURANGABAD(Ex BEHRM)"
DES07379,"AURANGABAD(EX RAGHUNATHGANJ)"
DES07378,"AURANGABAD(EX- BERHAMPORE)"
DES07380,"AURANGABAD(EX-RAGHUNATHGANJ)"
DES07381,"Avirampur"
DES04082,"AVIRAMPUR EX BURDWAN"
DES07382,"AWALSIDDHI"
DES03805,"AWALSIDDHI (EX- COSPR)"
DES07383,"AWANGKHUL (MNP)"
DES02866,"AZAMNAGAR (EX KATIHAR)"
DES05547,"AZIMGANJ"
DES03035,"B N COLLEGE ROAD (EX NAUGACHIA)"
DES02722,"B N COLLEGE ROAD(EX BHAGALPUR)"
DES00927,"B N TINALI (TEZ)"
DES03908,"B.T.I COLLEGE (EX-SAITHIA)"
DES04915,"BAALA BHUT"
DES04919,"BAARKODALI"
DES01731,"BABA HOTEL"
DES01477,"BABANBARI (DIB)"
DES06315,"BABEJIA"
DES05602,"BABLA(MLD)"
DES07384,"BABLA(MLD) (Ex Malda)"
DES03466,"BABUBARHI (EX DARBHANGA)"
DES07385,"BABUIJORE"
DES03909,"BABUIJORE (EX-SAITHIA)"
DES10650,"BABUR BAZAR,KAILASHAHAR"
DES10653,"BABUR BAZAR,KAILASHAHAR"
DES11104,"BABUR BAZAR,KAILASHAHAR"
DES07386,"BABURBAZAR"
DES06306,"BACHARA GHAT"
DES07387,"BACHARA GHAT (MGN)"
DES02641,"BACHCHWARA"
DES02587,"BACHHWARA (EX BARAUNI)"
DES07389,"BACHRA(EX RAGHUNATHGANJ)"
DES07388,"BACHRA(EX- BERHAMPORE)"
DES07390,"BACHRI"
DES02661,"BACHWARA (EX-BGSRI)"
DES04197,"BADAMTALA EX BURDWAN"
DES07391,"BADANGANJ"
DES04159,"BADANGANJ (EX BURDWAN)"
DES01732,"BADARPUR"
DES01733,"BADARPUR - BADARPUR (TOWN)"
DES01734,"BADARPUR - BADARPURGHAT"
DES01735,"BADARPUR - CHOURANGI"
DES01736,"BADARPUR - CHUARANGI"
DES01737,"BADARPUR - DHOLESHOR"
DES01738,"BADARPUR - DUDHPUR"
DES01739,"BADARPUR - JALAPUR"
DES01740,"BADARPUR - JUMBASTI"
DES01741,"BADARPUR - KATIGARAH"
DES01742,"BADARPUR - KATIRAIL"
DES01743,"BADARPUR - MALOA"
DES01744,"BADARPUR - MALUA"
DES01745,"BADARPUR - MOHANPUR"
DES01746,"BADARPUR - PANCHGRAM"
DES01747,"BADARPUR - SRIGOURI"
DES01748,"BADARPUR - SWISGATE"
DES01750,"BADARPUR DUMP"
DES01749,"BADARPUR- 1 DUMP"
DES07392,"BADARPURGHAT"
DES03023,"BADI KHANJARPUR (EX NAUGACHIA)"
DES02710,"BADI KHANJARPUR(EX BHAGALPUR)"
DES04873,"BADOMIRCHA"
DES07393,"BADRAJJI"
DES03279,"BADRAJJI (EX WARS)"
DES01395,"BADULIPAR (GOL)"
DES07394,"BADURIA"
DES03806,"BADURIA (EX- COSPR)"
DES07395,"BAGAL''S ROAD (LA)"
DES00284,"BAGANA (PATHSALA)"
DES07396,"BAGANGORA"
DES04306,"BAGANGORA (EX RNJ)"
DES07397,"BAGARGOL"
DES01619,"BAGBASA"
DES01321,"BAGCHUNG - CHINAMARA"
DES01322,"BAGCHUNG - DOKHLANGIA"
DES01323,"BAGCHUNG - JORHAT RAJABARI"
DES01324,"BAGCHUNG - LICHUMARI"
DES01325,"BAGCHUNG - RORIYA"
DES07398,"BAGDAH"
DES04266,"BAGDAH (EX KNJ)"
DES03910,"BAGDAHARI (EX-SAITHIA)"
DES03911,"BAGDANGA (EX-SAITHIA)"
DES07400,"BAGDANGA(EX RAGHUNATHGANJ)"
DES07399,"BAGDANGA(EX- BERHAMPORE)"
DES05306,"BAGDOGRA"
DES07401,"BAGH BAZAR"
DES03807,"BAGH BAZAR (EX- COSPR)"
DES07402,"BAGHAPARA"
DES00693,"BAGHARA (MGN)"
DES02503,"BAGHMARA (EX DHANBAD)"
DES07403,"BAGHMARA (LA)"
DES00646,"BAGHMARA (TURA)"
DES00645,"BAGHMARA - BAGHMARA"
DES00928,"BAGHMARA PABHOI - DHULI"
DES00929,"BAGHMARA PABHOI - MISICA TEA"
DES00930,"BAGHMARA PABHOI - PABHOI"
DES00285,"BAGHMARA(LA)"
DES00931,"BAGHMARI (TEZ)"
DES07404,"BAGI BARDIHA"
DES03280,"BAGI BARDIHA (EX WARS)"
DES07405,"BAGJOLA"
DES03808,"BAGJOLA (EX- COSPR)"
DES07406,"BAGMA (AGT) (Frm Jrnya)"
DES07407,"BAGMUNDI"
DES04810,"BAGMUNDI (EX-PURULIA)"
DES04091,"BAGNA PARA EX BURDWAN"
DES07408,"BAGNAN"
DES04202,"BAGNAN (EX-DANKUNI)"
DES02516,"BAGODAR/APKA (EX DHANBAD)"
DES07409,"BAGODI BAZAR"
DES03651,"BAGOPUR BALHA (EX SAMASTIPUR)"
DES06002,"BAGORI"
DES05342,"BAGRACOTE"
DES00286,"BAGRIBARI"
DES11228,"BAGRITALA"
DES07410,"BAGUIATI"
DES03809,"BAGUIATI (EX- COSPR)"
DES01478,"BAHADUR CHARIALI (TSK)"
DES02931,"BAHADURGANJ"
